n r1 r2 r3 r4
70 0.0111672 0.809801 0.262343 0.154943
71 0.887078 0.515339 0.66514 0.808762
72 0.221965 0.80383 0.629759 0.458086
73 0.348084 0.184926 0.792293 0.469655
74 0.0908224 0.875091 0.0859242 0.695158
75 0.412177 0.58621 0.384909 0.944055
76 0.655659 0.641444 0.536135 0.407909
77 0.224362 0.572768 0.752631 0.950961
78 0.445241 0.663617 0.690572 0.0345847
79 0.65219 0.82679 0.369749 0.648859
80 0.905973 0.988182 0.00335209 0.581892
81 0.566125 0.487985 0.692368 0.651622
82 0.242991 0.0342668 0.124041 0.672701
83 0.362822 0.813738 0.512931 0.171607
84 0.990016 0.574026 0.961216 0.975332
85 0.6747 0.120517 0.150922 0.307528
86 0.138051 0.556863 0.254584 0.0671758
87 0.756012 0.256527 0.169208 0.635304
88 0.293611 0.527394 0.723994 0.207243
89 0.957554 0.855619 0.82109 0.525722
90 0.102824 0.387168 0.410596 0.289141
91 0.998963 0.622442 0.073769 0.0033479
92 0.0683626 0.25014 0.747247 0.41782
93 0.419504 0.898856 0.819561 0.476786
94 0.901763 0.141881 0.192142 0.100342
95 0.635037 0.761582 0.776804 0.310975
96 0.694357 0.292557 0.931546 0.96277
97 0.450807 0.901109 0.598044 0.977848
98 0.455632 0.773639 0.204349 0.202161
99 0.676528 0.531855 0.8437 0.412329
100 0.958478 0.228377 0.223054 0.65453
101 0.662115 0.583568 0.745029 0.216213
102 0.346391 0.446016 0.462687 0.406514
103 0.119312 0.423985 0.0708626 0.493161
104 0.598354 0.529766 0.260989 0.300346
105 0.516314 0.362737 0.928168 0.363623
106 0.7127 0.408523 0.220113 0.478625
107 0.629371 0.186506 0.967162 0.599144
108 0.36193 0.442332 0.821957 0.287239
109 0.507237 0.975433 0.227284 0.331137
110 0.786053 0.87161 0.966093 0.401676
111 0.15119 0.450768 0.751 0.42982
112 0.832659 0.860115 0.811168 0.963837
113 0.635245 0.103784 0.108002 0.914643
114 0.317539 0.881664 0.347505 0.813327
115 0.18803 0.355929 0.11301 0.648172
116 0.270327 0.200598 0.550516 0.56909
117 0.929693 0.000231862 0.286009 0.580988
118 0.145219 0.196008 0.761409 0.364118
119 0.504077 0.173962 0.994371 0.95582
120 0.717493 0.279698 0.113547 0.457852
121 0.768262 0.112531 0.731936 0.144734
122 0.152138 0.157905 0.369698 0.747741
123 0.998468 0.934652 0.630761 0.183835
124 0.621565 0.18677 0.457286 0.373344
125 0.743174 0.708747 0.0668653 0.585547
126 0.864958 0.571554 0.285618 0.153186
127 0.501186 0.0505983 0.11192 0.649194
128 0.222491 0.159607 0.100957 0.51649
129 0.824272 0.502259 0.598463 0.256197
130 0.943213 0.577091 0.682169 0.888769
131 0.240833 0.942209 0.706848 0.0268415
132 0.956081 0.459441 0.101562 0.162128
133 0.568987 0.276759 0.247739 0.731197
134 0.809194 0.52559 0.57238 0.928027
135 0.734282 0.662708 0.204627 0.98739
136 0.122952 0.245938 0.0763456 0.572095
137 0.12917 0.511251 0.616427 0.546058
138 0.668455 0.854064 0.0114515 0.127494
139 0.848198 0.523131 0.520866 0.85044
140 0.0730985 0.452204 0.022131 0.955188
141 0.804806 0.00504982 0.444994 0.0771734
142 0.170948 0.960462 0.470786 0.866347
143 0.782437 0.717323 0.819767 0.50352
144 0.156089 0.659783 0.681529 0.224001
145 0.894597 0.502786 0.711273 0.812323
146 0.962781 0.0786699 0.133881 0.857929
147 0.725319 0.946947 0.401825 0.836667
148 0.686883 0.973654 0.206024 0.298635
149 0.593423 0.3194 0.619721 0.261812
150 0.378598 0.153512 0.864105 0.883153
151 0.930777 0.0464746 0.607148 0.94261
152 0.177279 0.897236 0.865938 0.707285
153 0.686683 0.965146 0.731299 0.760222
154 0.524588 0.715751 0.594348 0.195766
155 0.967379 0.608191 0.984399 0.332599
156 0.0829856 0.207384 0.557263 0.233699
157 0.791498 0.770591 0.483985 0.4088
158 0.00211918 0.757085 0.888539 0.349508
159 0.889231 0.607193 0.975371 0.417848
160 0.316314 0.829392 0.855374 0.361516
161 0.894803 0.511613 0.353903 0.408462
162 0.521996 0.605152 0.42505 0.197127
163 0.0787436 0.0263921 0.365177 0.506603
164 0.7745 0.711989 0.365613 0.265476
165 0.938306 0.0344039 0.907081 0.0334276
166 0.65934 0.798524 0.151967 0.811281
167 0.511285 0.48151 0.748076 0.56684
168 0.133649 0.702343 0.120752 0.0995056
169 0.200323 0.880468 0.991835 0.495477
170 0.999103 0.961715 0.864237 0.0773128
171 0.191705 0.846083 0.258911 0.00458249
172 0.158306 0.421061 0.77533 0.33168
173 0.224491 0.91162 0.321777 0.948835
174 0.922192 0.680173 0.952697 0.707895
175 0.512729 0.876457 0.820189 0.707851
176 0.776653 0.137185 0.346858 0.876057
177 0.0453514 0.934991 0.699447 0.885678
178 0.282233 0.375286 0.0749654 0.429555
179 0.285237 0.836794 0.154767 0.606231
180 0.171325 0.643195 0.253912 0.771391
181 0.460813 0.328021 0.130571 0.172265
182 0.222954 0.179376 0.49822 0.0910755
183 0.190408 0.124066 0.814178 0.996066
184 0.13586 0.130009 0.401091 0.156715
185 0.101487 0.663465 0.0789433 0.975701
186 0.386188 0.810706 0.863844 0.443764
187 0.403744 0.893057 0.472575 0.881281
188 0.946765 0.0619835 0.060851 0.293807
189 0.0468997 0.334388 0.111935 0.831312
190 0.760511 0.448476 0.123953 0.343606
191 0.14097 0.681366 0.736299 0.579829
192 0.00121666 0.0519108 0.30222 0.386519
193 0.738574 0.17917 0.186628 0.10066
194 0.420496 0.607822 0.399788 0.125282
195 0.875806 0.034403 0.719079 0.845755
196 0.470376 0.736021 0.71638 0.946994
197 0.939996 0.106502 0.826569 0.0701704
198 0.406597 0.0148176 0.511995 0.898072
199 0.979619 0.13039 0.632847 0.7569
200 0.218336 0.648983 0.189131 0.458749
201 0.493447 0.720388 0.439157 0.940394
202 0.99566 0.481475 0.932767 0.513627
203 0.532938 0.405363 0.644189 0.618213
204 0.236693 0.0989021 0.470224 0.0866348
205 0.623714 0.945144 0.0236487 0.955888
206 0.612049 0.780744 0.909874 0.955616
207 0.0588633 0.178169 0.246407 0.130704
208 0.844742 0.0423206 0.289576 0.183676
209 0.538681 0.650399 0.51979 0.925722
210 0.62941 0.52151 0.512556 0.901251
211 0.928331 0.275469 0.397226 0.0760058
212 0.905294 0.959219 0.770351 0.344778
213 0.0767835 0.276096 0.0470765 0.384614
214 0.313053 0.023599 0.349298 0.204684
215 0.187267 0.656735 0.672102 0.766578
216 0.306125 0.728016 0.888925 0.757315
217 0.151347 0.457486 0.284635 0.644686
218 0.152956 0.192771 0.707482 0.052282
219 0.555607 0.0392514 0.683177 0.511521
220 0.957045 0.500567 0.731721 0.59859
221 0.7418 0.650138 0.241732 0.987848
222 0.8374 0.395727 0.864905 0.539776
223 0.348198 0.523117 0.0138436 0.348025
224 0.55259 0.577164 0.298916 0.230172
225 0.181756 0.75493 0.668904 0.248805
226 0.117229 0.335101 0.32318 0.42128
227 0.0675682 0.216242 0.918943 0.288438
228 0.350349 0.281538 0.605035 0.939106
229 0.493978 0.743053 0.35972 0.0386912
230 0.81073 0.92447 0.713011 0.780197
231 0.418578 0.859348 0.0405839 0.332962
232 0.214903 0.835858 0.826402 0.975997
233 0.522211 0.281011 0.59316 0.859326
234 0.199141 0.163345 0.121338 0.371985
235 0.494945 0.450972 0.389589 0.497973
236 0.1774 0.235728 0.245487 0.639976
237 0.609897 0.355621 0.966624 0.358098
238 0.0627853 0.012174 0.590364 0.388808
239 0.887636 0.87246 0.842563 0.109968
240 0.760747 0.125191 0.742106 0.16053
241 0.575758 0.899011 0.869567 0.973472
242 0.607828 0.267345 0.538449 0.396064
243 0.465148 0.512972 0.404592 0.615132
244 0.320431 0.671728 0.581514 0.126218
245 0.736257 0.413623 0.847753 0.221123
246 0.533661 0.436181 0.852889 0.190774
247 0.575652 0.894482 0.487561 0.154537
248 0.650967 0.441258 0.249365 0.210255
249 0.724935 0.597211 0.10814 0.870693
250 0.490905 0.611946 0.40456 0.331866
251 0.421018 0.296774 0.454097 0.15496
252 0.107964 0.273135 0.0835444 0.942969
253 0.858621 0.967841 0.41439 0.263173
254 0.180051 0.348836 0.734443 0.0923143
255 0.352714 0.382446 0.677146 0.185329
256 0.495824 0.155152 0.452885 0.281146
257 0.800521 0.488893 0.622998 0.0189137
258 0.340711 0.536991 0.662024 0.583169
259 0.839576 0.821909 0.36516 0.328792
260 0.97106 0.0985397 0.232749 0.724231
261 0.270173 0.194057 0.11005 0.386256
262 0.881503 0.277482 0.565563 0.799453
263 0.857462 0.918385 0.402925 0.320416
264 0.211241 0.0129665 0.32749 0.727422
265 0.550289 0.812337 0.338609 0.480788
266 0.400562 0.757324 0.0842469 0.337932
267 0.450771 0.232908 0.458002 0.700501
268 0.0995673 0.581538 0.98979 0.161624
269 0.540462 0.39305 0.81672 0.66523
270 0.346667 0.124463 0.992212 0.536768
271 0.215844 0.209328 0.602797 0.233534
272 0.175058 0.135796 0.686869 0.570291
273 0.107754 0.930825 0.696043 0.319944
274 0.0710029 0.362789 0.994442 0.78704
275 0.456234 0.799303 0.702258 0.84275
276 0.0983763 0.530722 0.263572 0.973134
277 0.484155 0.990604 0.261115 0.254059
278 0.0195419 0.167123 0.194538 0.766144
279 0.759859 0.0873071 0.817195 0.310334
280 0.383275 0.0197338 0.15233 0.966707
281 0.460921 0.332639 0.559224 0.00723757
282 0.316052 0.818229 0.984374 0.343063
283 0.748022 0.915625 0.873226 0.993239
284 0.643665 0.129687 0.379994 0.871867
285 0.129785 0.537498 0.420927 0.292054
286 0.98573 0.0578054 0.105614 0.905519
287 0.746313 0.509354 0.845346 0.80463
288 0.60631 0.535874 0.121548 0.678113
289 0.92104 0.631059 0.121174 0.827002
290 0.0694568 0.963489 0.633115 0.858996
291 0.127377 0.101404 0.708121 0.710959
292 0.139149 0.937025 0.550694 0.534793
293 0.688504 0.709514 0.931074 0.810129
294 0.878684 0.823854 0.630196 0.0476357
295 0.0755664 0.557499 0.401513 0.994653
296 0.545242 0.93031 0.737314 0.539195
297 0.591352 0.564366 0.810269 0.283295
298 0.640939 0.0134119 0.22579 0.847015
299 0.523465 0.00117314 0.0623193 0.53244
300 0.372336 0.886332 0.341804 0.571502
301 0.52283 0.307433 0.48995 0.637051
302 0.78596 0.867612 0.863467 0.678792
303 0.0102838 0.438774 0.771249 0.339293
304 0.988066 0.824135 0.856287 0.926632
305 0.83584 0.995843 0.196486 0.506152
306 0.122449 0.557842 0.47233 0.697228
307 0.212136 0.384462 0.065612 0.628
308 0.17077 0.2862 0.142698 0.492948
309 0.115399 0.257037 0.265679 0.305687
310 0.155463 0.966424 0.309792 0.39759
311 0.894185 0.485211 0.467645 0.634359
312 0.96594 0.213444 0.0177436 0.227844
313 0.747979 0.91377 0.897652 0.657836
314 0.794413 0.561622 0.226221 0.89642
315 0.0346673 0.145804 0.278455 0.457997
316 0.0582865 0.820223 0.634741 0.680205
317 0.0377134 0.609107 0.302356 0.959255
318 0.701702 0.272634 0.101465 0.633686
319 0.870793 0.153839 0.887585 0.16882
320 0.909437 0.46933 0.412327 0.309744
321 0.619487 0.431428 0.485699 0.339084
322 0.531983 0.364597 0.203251 0.246806
323 0.616517 0.304728 0.848216 0.429078
324 0.911258 0.546996 0.260043 0.353213
325 0.918893 0.539424 0.926307 0.257577
326 0.312037 0.313585 0.217458 0.366543
327 0.602188 0.0266916 0.967986 0.881063
328 0.804794 0.337887 0.850797 0.987488
329 0.409073 0.787099 0.392907 0.995363
330 0.211288 0.68161 0.700265 0.0847823
331 0.586073 0.00576603 0.665431 0.550429
332 0.614846 0.900111 0.690202 0.53953
333 0.414424 0.348769 0.152332 0.283325
334 0.952929 0.99162 0.702175 0.844177
335 0.987753 0.810799 0.842059 0.515136
336 0.350161 0.940209 0.732782 0.493223
337 0.211189 0.344064 0.818159 0.323113
338 0.115684 0.602504 0.313913 0.499673
339 0.793401 0.51845 0.520046 0.0900234
340 0.719254 0.688162 0.295062 0.0430804
341 0.174912 0.462924 0.0899599 0.448272
342 0.576189 0.584085 0.884199 0.301908
343 0.882926 0.338192 0.495553 0.777002
344 0.111853 0.772389 0.0155271 0.944837
345 0.72478 0.590604 0.63319 0.676003
346 0.342003 0.592124 0.659398 0.552484
347 0.528999 0.237311 0.257673 0.230876
348 0.0959706 0.0947441 0.611458 0.412905
349 0.814828 0.43267 0.349694 0.399543
350 0.0252341 0.743322 0.595041 0.681113
351 0.817951 0.565903 0.423003 0.490789
352 0.680598 0.705521 0.182644 0.814713
353 0.722031 0.14 0.288837 0.471177
354 0.206804 0.490314 0.0892283 0.494648
355 0.742544 0.681879 0.935837 0.727291
356 0.594026 0.67845 0.811966 0.911914
357 0.881261 0.933787 0.449265 0.925866
358 0.941328 0.496675 0.387896 0.347972
359 0.716624 0.575962 0.283987 0.755037
360 0.82779 0.985699 0.212861 0.398474
361 0.517122 0.730535 0.721287 0.595508
362 0.652623 0.511917 0.411968 0.98678
363 0.261641 0.496687 0.980228 0.561108
364 0.696239 0.372874 0.173656 0.485632
365 0.822665 0.767058 0.219881 0.863819
366 0.66984 0.246488 0.756383 0.81222
367 0.615048 0.575401 0.55937 0.098953
368 0.661735 0.234017 0.548776 0.283737
369 0.434972 0.225488 0.258329 0.811842
370 0.654221 0.246776 0.610985 0.317423
371 0.0105765 0.451265 0.34095 0.59796
372 0.175467 0.486609 0.546838 0.730954
373 0.957616 0.858264 0.212474 0.00408071
374 0.166487 0.770105 0.353304 0.445897
375 0.380381 0.896252 0.207557 0.638655
376 0.783904 0.446568 0.0656026 0.818858
377 0.279995 0.613141 0.525604 0.165255
378 0.624838 0.659736 0.563201 0.621801
379 0.229066 0.440146 0.648771 0.243517
380 0.750857 0.703249 0.823816 0.86489
381 0.443551 0.258186 0.103957 0.997684
382 0.903591 0.219869 0.209392 0.202097
383 0.429583 0.995545 0.320741 0.233427
384 0.445182 0.994446 0.0399205 0.58169
385 0.804846 0.00677598 0.352855 0.389296
386 0.822437 0.0906404 0.757845 0.100568
387 0.691005 0.482859 0.371373 0.0997375
388 0.744095 0.0813888 0.407637 0.693316
389 0.24553 0.142604 0.103464 0.262261
390 0.776323 0.123124 0.952056 0.333719
391 0.448171 0.455311 0.781155 0.641967
392 0.702119 0.623745 0.118428 0.848324
393 0.179172 0.644673 0.680175 0.312245
394 0.755961 0.254333 0.0151966 0.238554
395 0.923217 0.723936 0.969601 0.62112
396 0.735655 0.0546211 0.680837 0.579729
397 0.104976 0.812301 0.358611 0.888297
398 0.00895816 0.382215 0.024137 0.112218
399 0.108967 0.982582 0.917321 0.678635
400 0.573177 0.455559 0.286691 0.0618451
401 0.458362 0.890115 0.464261 0.263355
402 0.591578 0.240657 0.205344 0.0235245
403 0.424209 0.432909 0.0537157 0.770952
404 0.221052 0.43154 0.474196 0.413991
405 0.508431 0.693057 0.361737 0.545378
406 0.0611207 0.274484 0.902656 0.546352
407 0.790845 0.40939 0.160299 0.369708
408 0.194984 0.985981 0.837892 0.30108
409 0.052298 0.231382 0.584659 0.479107
410 0.558933 0.514457 0.966929 0.16492
411 0.882913 0.00430882 0.539641 0.67756
412 0.267088 0.395739 0.535488 0.58108
413 0.656304 0.335654 0.356159 0.388442
414 0.534038 0.452276 0.317562 0.100934
415 0.297487 0.692764 0.69994 0.109626
416 0.978581 0.0861057 0.341579 0.749348
417 0.194104 0.281755 0.750018 0.509457
418 0.357396 0.915576 0.425896 0.312612
419 0.397445 0.957667 0.805215 0.290559
420 0.168105 0.505812 0.998226 0.929843
421 0.431622 0.415874 0.74242 0.964028
422 0.0767875 0.942933 0.470485 0.415582
423 0.576127 0.914738 0.141131 0.817241
424 0.765672 0.00202596 0.61242 0.16321
425 0.408895 0.779515 0.404338 0.624091
426 0.562317 0.658859 0.914247 0.275653
427 0.693848 0.937513 0.84644 0.0371037
428 0.102235 0.695353 0.850417 0.741743
429 0.368777 0.734496 0.48454 0.116526
430 0.29255 0.148801 0.253485 0.0234683
431 0.436305 0.282341 0.160052 0.0920725
432 0.984879 0.354836 0.678949 0.34122
433 0.98253 0.587945 0.633221 0.218667
434 0.0312691 0.334148 0.688787 0.241024
435 0.344845 0.713381 0.433733 0.478138
436 0.787647 0.272955 0.40331 0.699612
437 0.622281 0.217303 0.516265 0.89443
438 0.644857 0.847223 0.4678 0.0700708
439 0.268616 0.127606 0.16042 0.370552
440 0.807983 0.140629 0.752316 0.592673
441 0.430359 0.695325 0.0701208 0.221074
442 0.310304 0.906288 0.649877 0.992386
443 0.988589 0.1798 0.268173 0.964645
444 0.138802 0.922213 0.760145 0.856398
445 0.93551 0.915076 0.147318 0.456584
446 0.363841 0.190542 0.0425995 0.0319212
447 0.763458 0.907562 0.929739 0.0822748
448 0.306184 0.7305 0.195041 0.206358
449 0.965975 0.214936 0.802592 0.497675
450 0.0401982 0.715122 0.06018 0.128829
451 0.547413 0.356302 0.137754 0.293895
452 0.922697 0.70172 0.284906 0.603915
453 0.609459 0.00359643 0.469648 0.978432
454 0.352487 0.706102 0.253731 0.435356
455 0.629787 0.204243 0.295557 0.806252
456 0.606341 0.870541 0.489758 0.919304
457 0.969962 0.38506 0.27854 0.25956
458 0.362707 0.475494 0.263417 0.283623
459 0.44658 0.387419 0.0736366 0.3657
460 0.415119 0.0450691 0.0710686 0.641596
461 0.471492 0.783645 0.763682 0.558272
462 0.0928808 0.296247 0.942474 0.575267
463 0.31386 0.724678 0.781706 0.427156
464 0.0472308 0.681847 0.207971 0.385533
465 0.458648 0.568978 0.212475 0.468795
466 0.32681 0.277248 0.403111 0.342969
467 0.833032 0.542681 0.506392 0.83866
468 0.056895 0.760855 0.41035 0.945241
469 0.844086 0.681003 0.904572 0.123503
470 0.552461 0.238321 0.734284 0.23385
471 0.71799 0.3009 0.26456 0.291577
472 0.335793 0.660511 0.978799 0.644811
473 0.552851 0.254972 0.491755 0.244674
474 0.294966 0.585227 0.141342 0.664746
475 0.79414 0.21662 0.422256 0.786413
476 0.110141 0.0326713 0.261459 0.735766
477 0.513589 0.246451 0.768447 0.336874
478 0.0902656 0.184667 0.257551 0.399356
479 0.919295 0.889938 0.629281 0.364265
480 0.703382 0.677628 0.457729 0.591392
481 0.946633 0.0563213 0.0828419 0.269966
482 0.349358 0.239276 0.377493 0.297264
483 0.576455 0.928766 0.519381 0.353888
484 0.31451 0.419112 0.718849 0.447955
485 0.698963 0.155772 0.638663 0.502739
486 0.363187 0.162629 0.36234 0.984839
487 0.888449 0.573826 0.426071 0.384389
488 0.0620146 0.97929 0.295365 0.442778
489 0.376046 0.711309 0.937548 0.197168
490 0.698146 0.454238 0.967002 0.198011
491 0.804461 0.323652 0.364081 0.413551
492 0.543448 0.85377 0.481463 0.699209
493 0.0205409 0.209746 0.612053 0.473299
494 0.232216 0.574552 0.33915 0.546911
495 0.208428 0.559593 0.526421 0.0217765
496 0.160623 0.186592 0.10618 0.208457
497 0.0878878 0.0832149 0.899288 0.0547529
498 0.0817177 0.819957 0.440113 0.452406
499 0.699316 0.170809 0.547084 0.221658
500 0.460435 0.645239 0.321488 0.258297
501 0.468769 0.334155 0.00517459 0.554861
502 0.668698 0.197778 0.137655 0.00448638
503 0.793264 0.179272 0.779359 0.0331735
504 0.741304 0.295628 0.43726 0.158664
505 0.308445 0.160321 0.609328 0.65342
506 0.178936 0.301277 0.720622 0.492548
507 0.297612 0.364767 0.839783 0.0745055
508 0.175245 0.477114 0.553102 0.0141048
509 0.372964 0.57978 0.760564 0.41408
510 0.660578 0.184652 0.585463 0.357534
511 0.606794 0.889893 0.667705 0.418488
512 0.695566 0.677491 0.737064 0.293123
513 0.712248 0.0559093 0.413034 0.992345
514 0.0133916 0.23804 0.844632 0.315964
515 0.670119 0.925058 0.350486 0.964677
516 0.900187 0.407988 0.501226 0.944384
517 0.370056 0.122401 0.852982 0.984214
518 0.118653 0.0625166 0.606859 0.405828
519 0.38141 0.273487 0.964316 0.577043
520 0.220585 0.0782741 0.324162 0.809803
521 0.890819 0.00825989 0.266127 0.665431
522 0.359651 0.345092 0.679301 0.704363
523 0.140536 0.996214 0.680663 0.237295
524 0.606362 0.871455 0.970273 0.084505
525 0.373347 0.262801 0.695669 0.371374
526 0.782821 0.733716 0.44156 0.467698
527 0.336807 0.0370866 0.388339 0.463824
528 0.975447 0.619072 0.355996 0.573663
529 0.821422 0.380654 0.640926 0.267557
530 0.149506 0.712276 0.641589 0.442382
531 0.504244 0.847765 0.0811992 0.246273
532 0.679909 0.676108 0.712897 0.496205
533 0.541252 0.426761 0.546588 0.76077
534 0.128334 0.475595 0.863459 0.098777
535 0.898736 0.0127221 0.26146 0.745733
536 0.237406 0.795979 0.797623 0.585404
537 0.335813 0.661374 0.432604 0.800829
538 0.878229 0.804435 0.417013 0.536337
539 0.247053 0.874243 0.608644 0.0105622
540 0.578255 0.00554121 0.898746 0.236337
541 0.246056 0.165061 0.914683 0.322965
542 0.272043 0.940496 0.399383 0.810753
543 0.417752 0.157425 0.164152 0.957834
544 0.0581271 0.480088 0.390468 0.450222
545 0.588993 0.4637 0.865434 0.0808287
546 0.0108144 0.461414 0.678394 0.432977
547 0.76395 0.595179 0.28146 0.870403
548 0.486368 0.418349 0.583209 0.325625
549 0.0426598 0.153484 0.96612 0.120124
550 0.878651 0.155763 0.547836 0.79012
551 0.887966 0.553227 0.591932 0.659605
552 0.419941 0.917492 0.621071 0.846552
553 0.527951 0.525914 0.399042 0.142865
554 0.388236 0.898055 0.804608 0.238227
555 0.577854 0.655104 0.236274 0.143574
556 0.973003 0.848124 0.176169 0.717405
557 0.637331 0.192809 0.930545 0.0122617
558 0.0669627 0.52374 0.997751 0.616924
559 0.665793 0.407158 0.611601 0.59119
560 0.392093 0.729287 0.689843 0.994822
561 0.360421 0.711297 0.634654 0.648224
562 0.633692 0.704204 0.599336 0.935943
563 0.558364 0.823549 0.884129 0.781646
564 0.646956 0.603461 0.910748 0.266384
565 0.856457 0.20882 0.507329 0.563496
566 0.316135 0.821771 0.847244 0.983519
567 0.188701 0.0512506 0.517501 0.829645
568 0.28699 0.911564 0.479809 0.126204
569 0.0236281 0.00813019 0.221349 0.290416
570 0.55886 0.844703 0.00981197 0.606662
571 0.140509 0.995047 0.0667284 0.026224
572 0.813311 0.367953 0.312063 0.697386
573 0.615288 0.252296 0.27182 0.948297
574 0.371927 0.202199 0.822357 0.41331
575 0.693966 0.942536 0.487763 0.945192
576 0.816455 0.835419 0.525363 0.95136
577 0.65304 0.529695 0.762307 0.201432
578 0.570142 0.659397 0.845576 0.646349
579 0.543495 0.189127 0.212693 0.0652066
580 0.129692 0.200194 0.665971 0.574099
581 0.886696 0.499019 0.0815926 0.857733
582 0.152946 0.192369 0.495815 0.979511
583 0.937415 0.663044 0.240559 0.157465
584 0.247975 0.246945 0.981015 0.129196
585 0.0511157 0.514272 0.721059 0.357985
586 0.0749171 0.863128 0.497223 0.985149
587 0.989461 0.550322 0.493805 0.689029
588 0.26251 0.533778 0.487824 0.267831
589 0.669916 0.24977 0.482697 0.405728
590 0.656905 0.694623 0.50577 0.0238864
591 0.912183 0.919808 0.690346 0.491764
592 0.560951 0.267235 0.590142 0.735608
593 0.156058 0.325143 0.327739 0.987768
594 0.887791 0.545741 0.655152 0.306138
595 0.922223 0.348162 0.981263 0.946916
596 0.543218 0.177298 0.991213 0.926258
597 0.959305 0.930331 0.115912 0.0353053
598 0.866867 0.986307 0.774556 0.875508
599 0.567458 0.544857 0.604124 0.935302
600 0.602946 0.392384 0.65374 0.732235
601 0.510561 0.450589 0.48533 0.975698
602 0.636846 0.17208 0.028316 0.264069
603 0.226028 0.977179 0.801928 0.803132
604 0.624555 0.314349 0.556724 0.442171
605 0.713082 0.0914832 0.122991 0.42484
606 0.657494 0.719762 0.727433 0.569502
607 0.527232 0.495224 0.257679 0.593455
608 0.245941 0.493485 0.999171 0.435211
609 0.73056 0.503892 0.675919 0.27017
610 0.16989 0.581989 0.0629746 0.704127
611 0.444302 0.956904 0.294576 0.793229
612 0.136801 0.503523 0.200683 0.422228
613 0.822086 0.409007 0.552915 0.394308
614 0.701305 0.922334 0.511346 0.565798
615 0.809053 0.85294 0.0918377 0.846015
616 0.542577 0.816632 0.948914 0.983907
617 0.973984 0.223333 0.866944 0.289307
618 0.96071 0.99031 0.661441 0.880677
619 0.998403 0.931868 0.166146 0.6803
620 0.344025 0.678416 0.0439092 0.155706
621 0.0785239 0.683684 0.768141 0.811539
622 0.374915 0.996366 0.213665 0.467882
623 0.542774 0.825035 0.368716 0.503438
624 0.882412 0.982918 0.289315 0.809691
625 0.409504 0.472192 0.417445 0.327205
