i t0002 t0004 t0008 t0016 t0032 t0064 t0128 t0256 t0512 t1024 tall
61 0.336008 0.297905 0.205909 -0.150201 -0.291748 -0.0509304 0.142946 0.163441 0.151965 0.065923 0.128922
62 0 0.487828 0.1124 -0.147125 -0.269307 -0.062712 0.148137 0.168603 0.153938 0.0656803 0.129823
63 0.120385 0.290919 0.0361517 -0.143178 -0.247396 -0.0744632 0.153171 0.173752 0.155914 0.0654397 0.130708
64 -0 0 0 -0.139102 -0.225879 -0.0861942 0.158038 0.178886 0.157893 0.0652013 0.131588
65 -0.309948 -0.148374 -0.0373258 -0.134759 -0.204552 -0.0979277 0.162728 0.184003 0.159874 0.0649651 0.132469
66 0 -0.0288162 -0.11889 -0.128625 -0.183855 -0.109693 0.167232 0.189102 0.161858 0.0647311 0.133366
67 0.313109 0.113592 -0.220286 -0.118956 -0.164375 -0.121507 0.171543 0.19418 0.163844 0.0644993 0.134255
68 0 0 -0.292349 -0.104289 -0.146643 -0.133366 0.175651 0.199234 0.165832 0.0642697 0.135117
69 -0.205716 -0.15709 -0.298694 -0.0836345 -0.131123 -0.145255 0.179549 0.204263 0.167823 0.0640425 0.135985
70 -0 -0.111253 -0.233985 -0.0566015 -0.118208 -0.157146 0.183228 0.209265 0.169815 0.0638175 0.136883
71 -0.260166 0.0228047 -0.122927 -0.0234594 -0.108208 -0.168998 0.186683 0.214236 0.171809 0.0635949 0.13778
72 0 0 0 0.0148664 -0.101353 -0.180761 0.189906 0.219176 0.173806 0.0633746 0.13867
73 0.230054 -0.0428083 0.106859 0.0568631 -0.0977829 -0.192378 0.192892 0.224081 0.175803 0.0631567 0.139544
74 0 0.0468388 0.145168 0.100565 -0.097549 -0.203785 0.195633 0.228951 0.177803 0.0629412 0.14039
75 0.261503 0.0993442 0.101921 0.143754 -0.100615 -0.214913 0.198125 0.233781 0.179804 0.0627281 0.141212
76 0 0 0.00634879 0.184221 -0.106857 -0.22569 0.200363 0.238571 0.181806 0.0625174 0.141988
77 -0.218118 -0.0818835 -0.0906503 0.220103 -0.116068 -0.236039 0.202342 0.243318 0.183809 0.0623093 0.142751
78 0 0.0093866 -0.137505 0.250268 -0.12796 -0.245886 0.204058 0.24802 0.185814 0.0621036 0.14353
79 0.176237 0.0932135 -0.103379 0.274786 -0.142176 -0.255155 0.205508 0.252676 0.187819 0.0619004 0.144311
80 -0 0 0 0.295447 -0.158291 -0.26377 0.206688 0.257281 0.189826 0.0616997 0.145078
81 -0.271187 -0.167247 0.119821 0.315834 -0.175826 -0.271659 0.207596 0.261836 0.191833 0.0615016 0.145834
82 0 -0.247785 0.228389 0.33853 -0.194257 -0.278753 0.208229 0.266337 0.19384 0.061306 0.146601
83 -0.171372 -0.131836 0.292005 0.364074 -0.213031 -0.284985 0.208586 0.270783 0.195848 0.0611131 0.147361
84 0 0 0.28631 0.391671 -0.231573 -0.290295 0.208665 0.275172 0.197857 0.0609228 0.148113
85 0.157408 0.0874604 0.216254 0.419761 -0.249311 -0.294628 0.208466 0.279501 0.199865 0.060735 0.148848
86 0 0.104888 0.117196 0.446493 -0.265684 -0.297934 0.207988 0.283768 0.201874 0.06055 0.149566
87 0.271786 0.0391428 0.0371213 0.470104 -0.28017 -0.300171 0.207231 0.287973 0.203882 0.0603676 0.150291
88 0 0 0 0.489205 -0.292299 -0.301303 0.206195 0.292112 0.20589 0.0601879 0.151018
89 0.051433 0.0581188 -0.0280839 0.50297 -0.301678 -0.301303 0.204883 0.296183 0.207897 0.0600109 0.15176
90 0 0.208307 -0.0672419 0.511231 -0.308015 -0.30015 0.203294 0.300186 0.209904 0.0598367 0.152506
91 -0.239296 0.193314 -0.105581 0.514478 -0.311143 -0.297833 0.201432 0.304118 0.211911 0.0596652 0.153239
92 0 0 -0.125452 0.513766 -0.311047 -0.294349 0.199298 0.307977 0.213916 0.0594965 0.153977
93 0.0128633 -0.19071 -0.117122 0.510524 -0.307894 -0.289704 0.196895 0.311761 0.21592 0.0593305 0.154721
94 0 -0.199924 -0.0841827 0.506274 -0.302059 -0.283911 0.194226 0.315469 0.217923 0.0591674 0.155485
95 0.0411534 -0.0506036 -0.0406836 0.502246 -0.29416 -0.276994 0.191295 0.319099 0.219925 0.059007 0.156265
96 0 0 0 0.498912 -0.285088 -0.268983 0.188106 0.32265 0.221925 0.0588495 0.157037
97 0.100921 -0.0385698 0.0447099 0.493294 -0.275499 -0.259919 0.184663 0.326119 0.223924 0.0586949 0.157803
98 0 -0.0872259 0.106438 0.475178 -0.264276 -0.249851 0.180971 0.329505 0.225921 0.0585432 0.158559
99 -0.35157 -0.0667146 0.166429 0.438033 -0.25027 -0.238832 0.177036 0.332807 0.227916 0.0583943 0.159303
100 0 0 0.197117 0.380498 -0.232797 -0.226929 0.172862 0.336023 0.229908 0.0582483 0.160047
101 0.344909 -0.0169335 0.183495 0.30502 -0.211565 -0.21421 0.168456 0.339151 0.231898 0.0581053 0.160766
102 0 -0.182132 0.131488 0.21664 -0.18661 -0.200755 0.163823 0.34219 0.233886 0.0579652 0.161447
103 -0.394651 -0.202905 0.0633411 0.121906 -0.158236 -0.186644 0.158971 0.345139 0.235871 0.0578281 0.16213
104 0 0 0 0.027925 -0.126955 -0.171969 0.153906 0.347996 0.237854 0.0576939 0.162844
105 0.06712 0.166002 -0.0729019 -0.0584564 -0.0934382 -0.156821 0.148636 0.35076 0.239833 0.0575627 0.163551
106 0 0.0632989 -0.184335 -0.131327 -0.0584656 -0.141299 0.143168 0.35343 0.24181 0.0574346 0.164233
107 -0.0766736 -0.0895982 -0.300577 -0.18626 -0.0228817 -0.125502 0.137508 0.356005 0.243783 0.0573094 0.164916
108 0 0 -0.36729 -0.220717 0.0124429 -0.109532 0.131667 0.358482 0.245752 0.0571873 0.165633
109 0.14054 0.173658 -0.351439 -0.234332 0.0466474 -0.0934932 0.125651 0.360862 0.247718 0.0570682 0.166376
110 0 0.207383 -0.258996 -0.229042 0.078912 -0.077488 0.119468 0.363143 0.24968 0.0569522 0.167119
111 0.276806 0.0766604 -0.128431 -0.209098 0.108484 -0.0616185 0.113129 0.365324 0.251638 0.0568392 0.167859
112 0 0 0 -0.180932 0.134701 -0.0459839 0.10664 0.367404 0.253592 0.0567294 0.168575
113 -0.389987 0.0529471 0.107743 -0.149409 0.157008 -0.03068 0.100012 0.369382 0.255541 0.0566226 0.169273
114 0 0.209969 0.144647 -0.109197 0.174973 -0.0157972 0.093252 0.371257 0.257486 0.056519 0.169959
115 0.300437 0.200492 0.0980982 -0.0577855 0.188294 -0.00141912 0.0863704 0.373029 0.259426 0.0564185 0.170596
116 0 0 -0.000928291 0.00258693 0.196805 0.0123785 0.079376 0.374696 0.261362 0.0563211 0.171176
117 -0.23624 -0.170753 -0.0997461 0.0668456 0.20048 0.0255297 0.0722779 0.376258 0.263292 0.0562269 0.171734
118 0 -0.114205 -0.145767 0.128686 0.199423 0.0379802 0.0650853 0.377715 0.265218 0.0561359 0.172299
119 0.405698 0.0329039 -0.108252 0.181871 0.193868 0.0496884 0.0578074 0.379065 0.267137 0.0560481 0.172859
120 0 0 0 0.221228 0.18416 0.0606282 0.0504534 0.380307 0.269052 0.0559634 0.173369
121 -0.383935 -0.0395193 0.116884 0.243332 0.170744 0.0707899 0.0430323 0.381442 0.27096 0.055882 0.173843
122 0 0.0929026 0.193483 0.246884 0.154141 0.080183 0.0355532 0.382469 0.272863 0.0558037 0.174297
123 -0.107016 0.151656 0.20546 0.232789 0.134924 0.0888375 0.0280249 0.383388 0.274759 0.0557287 0.174688
124 0 0 0.154579 0.203921 0.113689 0.0968066 0.0204563 0.384197 0.27665 0.055657 0.175025
125 0.445204 -0.149884 0.0689488 0.164581 0.0910223 0.104169 0.0128558 0.384898 0.278533 0.0555885 0.175335
126 0 -0.087198 -0.00690142 0.119656 0.0674597 0.111029 0.00523179 0.385489 0.280411 0.0555232 0.175625
127 -0.384634 0.0446334 -0.0321512 0.0734611 0.0434476 0.117523 -0.00240759 0.38597 0.282281 0.0554612 0.175917
128 0 0 0 0.0282859 0.0192946 0.123818 -0.0100545 0.386341 0.284145 0.0554025 0.176216
129 0.420933 -0.0330519 0.0433321 -0.0161503 -0.00499592 0.130072 -0.0176985 0.386602 0.286001 0.0553472 0.176509
130 0 0.124492 0.0687033 -0.0583685 -0.0299018 0.136289 -0.0253175 0.386754 0.28785 0.0552951 0.176786
131 -0.19748 0.183318 0.0679737 -0.0956037 -0.0556892 0.142432 -0.0328879 0.386795 0.289692 0.0552463 0.177049
132 0 0 0.0444311 -0.125093 -0.0823092 0.148465 -0.0403867 0.386726 0.291526 0.0552008 0.177295
133 0.200847 -0.163594 0.0109007 -0.144604 -0.109466 0.154352 -0.0477924 0.386548 0.293352 0.0551587 0.177538
134 -0 -0.0609794 -0.0150736 -0.152816 -0.13668 0.16006 -0.0550843 0.386259 0.29517 0.05512 0.177793
135 -0.271458 0.0899899 -0.0189769 -0.14956 -0.163344 0.165554 -0.062243 0.385862 0.29698 0.0550845 0.178057
136 0 0 0 -0.13591 -0.188774 0.170803 -0.0692498 0.385355 0.298781 0.0550525 0.178325
137 -0.0862545 -0.244183 0.0257549 -0.11414 -0.212261 0.175778 -0.0760874 0.384739 0.300574 0.0550238 0.178581
138 0 -0.435541 0.0525384 -0.0875224 -0.233104 0.180451 -0.0827393 0.384014 0.302359 0.0549985 0.178848
139 0.146258 -0.281529 0.0721029 -0.0599945 -0.250655 0.184794 -0.08919 0.383182 0.304134 0.0549766 0.179139
140 0 0 0.0762104 -0.0356741 -0.264341 0.188786 -0.0954251 0.382242 0.3059 0.054958 0.179431
141 -0.24329 0.147419 0.0631863 -0.0182329 -0.273696 0.192404 -0.101431 0.381194 0.307658 0.0549429 0.179708
142 0 0.0036924 0.0394499 -0.0101259 -0.278377 0.19563 -0.107195 0.380041 0.309405 0.0549312 0.179972
143 0.328715 -0.142963 0.0160203 -0.0116755 -0.27818 0.198446 -0.112706 0.378781 0.311144 0.0549229 0.180237
144 -0 0 -0 -0.0200128 -0.273049 0.200841 -0.117953 0.377416 0.312872 0.0549181 0.180511
145 -0.282705 0.143012 -0.0265654 -0.0283108 -0.263081 0.202802 -0.122925 0.375947 0.314591 0.0549166 0.180791
146 0 -0.00353323 -0.0977368 -0.029765 -0.248523 0.204323 -0.127615 0.374374 0.316299 0.0549186 0.181064
147 0.14199 -0.147277 -0.192321 -0.0218373 -0.229766 0.205397 -0.132014 0.372698 0.317998 0.0549241 0.181342
148 0 0 -0.263902 -0.00540931 -0.207332 0.206023 -0.136115 0.37092 0.319686 0.054933 0.18165
149 0.268492 0.231379 -0.276159 0.0164547 -0.181859 0.206201 -0.139911 0.369041 0.321363 0.0549454 0.181991
150 0 0.274351 -0.220801 0.0395635 -0.154077 0.205936 -0.143398 0.367062 0.32303 0.0549612 0.182326
151 -0.0420567 0.0997721 -0.118094 0.0594712 -0.124777 0.205233 -0.146569 0.364984 0.324685 0.0549805 0.18266
152 0 0 0 0.0721675 -0.0947851 0.204103 -0.149422 0.362809 0.32633 0.0550033 0.182996
153 0.0146522 -0.0998968 0.102969 0.0745851 -0.0649149 0.202557 -0.151953 0.360536 0.327964 0.0550296 0.183318
154 0 -0.274753 0.1372 0.0649245 -0.0359303 0.200611 -0.154159 0.358168 0.329586 0.0550594 0.183605
155 0.0059132 -0.231738 0.0909413 0.0427965 -0.00849271 0.198283 -0.156039 0.355705 0.331196 0.0550926 0.183873
156 0 0 -0.00530231 0.00918172 0.0168923 0.195592 -0.157592 0.353149 0.332795 0.0551294 0.184127
157 -0.0926671 0.255774 -0.100354 -0.0337921 0.0399355 0.192563 -0.158818 0.350501 0.334382 0.0551697 0.184367
158 0 0.352149 -0.1436 -0.0832554 0.0606292 0.18922 -0.159717 0.347763 0.335957 0.0552134 0.184598
159 -0.0116628 0.169281 -0.105876 -0.136185 0.0793179 0.185592 -0.16029 0.344936 0.33752 0.0552607 0.184818
160 0 0 0 -0.190175 0.0967742 0.181707 -0.160539 0.342021 0.33907 0.0553115 0.185048
161 -0.36559 -0.0483714 0.128185 -0.243396 0.114116 0.177598 -0.160466 0.33902 0.340609 0.0553659 0.185284
162 0 0.0371963 0.266911 -0.291903 0.132048 0.173298 -0.160074 0.335934 0.342134 0.0554237 0.185549
163 0.000678346 0.0932684 0.37355 -0.331912 0.150827 0.168841 -0.159367 0.332765 0.343647 0.0554851 0.185805
164 0 0 0.402378 -0.360832 0.170409 0.164265 -0.158348 0.329514 0.345146 0.0555501 0.186044
165 0.317779 -0.181246 0.340755 -0.377388 0.190512 0.159607 -0.157024 0.326183 0.346633 0.0556185 0.186275
166 0 -0.320496 0.218772 -0.381658 0.21068 0.154904 -0.155398 0.322774 0.348106 0.0556905 0.186492
167 0.176876 -0.205602 0.0923816 -0.375015 0.230332 0.150197 -0.153478 0.319289 0.349566 0.0557661 0.186741
168 0 0 0 -0.359985 0.248817 0.145523 -0.151268 0.315729 0.351013 0.0558452 0.187001
169 -0.475898 0.116485 -0.0739563 -0.340021 0.265456 0.140923 -0.148776 0.312095 0.352446 0.0559278 0.187254
170 0 0.0335257 -0.116927 -0.319185 0.27958 0.136435 -0.14601 0.30839 0.353865 0.0560141 0.187515
171 0.37573 -0.0760181 -0.115117 -0.301742 0.290568 0.132099 -0.142977 0.304616 0.35527 0.0561038 0.187773
172 0 0 -0.0744253 -0.29167 0.297872 0.12795 -0.139685 0.300774 0.356661 0.0561971 0.188025
173 -0.237652 0.164611 -0.0170029 -0.292078 0.301047 0.124026 -0.136142 0.296867 0.358038 0.056294 0.188273
174 0 0.251755 0.0270938 -0.30454 0.299763 0.120361 -0.132359 0.292895 0.3594 0.0563945 0.188505
175 0.307677 0.139265 0.0331595 -0.328341 0.293824 0.116987 -0.128344 0.288862 0.360748 0.0564985 0.1887
176 0 0 0 -0.359631 0.283175 0.113935 -0.124107 0.284768 0.362081 0.056606 0.188857
177 -0.440914 -0.082968 -0.0350137 -0.391724 0.267907 0.111232 -0.119658 0.280617 0.3634 0.0567172 0.189007
178 0 -0.0704705 -0.0373425 -0.419546 0.248253 0.108901 -0.115008 0.276409 0.364704 0.0568319 0.189181
179 0.132729 -0.00209213 -0.0057032 -0.438851 0.224585 0.106964 -0.110168 0.272148 0.365992 0.0569502 0.18936
180 0 0 0.0414231 -0.446011 0.197401 0.105436 -0.105149 0.267834 0.367266 0.057072 0.189535
181 0.309857 0.0262528 0.0792378 -0.438516 0.167309 0.104328 -0.0999612 0.263471 0.368524 0.0571974 0.189725
182 0 0.148271 0.0873415 -0.41531 0.135003 0.103646 -0.0946175 0.25906 0.369767 0.0573264 0.189911
183 -0.00843384 0.152715 0.0577201 -0.37696 0.10124 0.103392 -0.0891293 0.254603 0.370994 0.057459 0.190096
184 0 0 -0 -0.325662 0.0668062 0.10356 -0.0835089 0.250102 0.372206 0.0575951 0.190275
185 -0.286201 -0.0868528 -0.0635316 -0.26508 0.0324787 0.104136 -0.0777685 0.24556 0.373402 0.0577348 0.19046
186 0 0.0638131 -0.119465 -0.200027 -0.00101362 0.105103 -0.0719206 0.240979 0.374582 0.0578781 0.19068
187 0.070938 0.163877 -0.150407 -0.135967 -0.0330386 0.106431 -0.0659779 0.23636 0.375746 0.058025 0.190902
188 0 0 -0.144864 -0.078369 -0.0631132 0.108086 -0.0599532 0.231706 0.376894 0.0581754 0.191112
189 -0.219422 -0.199974 -0.106756 -0.0318829 -0.0909601 0.110023 -0.0538594 0.227018 0.378026 0.0583294 0.191321
190 0 -0.180048 -0.0553902 0.000642474 -0.116571 0.112186 -0.0477096 0.2223 0.379141 0.058487 0.19155
191 -0.0245608 -0.0173504 -0.0158763 0.0193083 -0.140272 0.114511 -0.041517 0.217553 0.38024 0.0586481 0.191775
192 0 -0 0 0.0284801 -0.162799 0.116923 -0.0352946 0.21278 0.381322 0.0588128 0.191979
193 0.420152 -0.130664 0.0221274 0.0338968 -0.185306 0.119361 -0.0290559 0.207982 0.382388 0.0589811 0.192177
194 0 -0.296576 0.0899427 0.030531 -0.208851 0.121864 -0.022814 0.203161 0.383437 0.059153 0.192355
195 -0.415938 -0.227313 0.183307 0.0147115 -0.233997 0.124483 -0.0165823 0.19832 0.38447 0.0593284 0.192538
196 0 0 0.256127 -0.01308 -0.26087 0.127254 -0.0103742 0.193461 0.385485 0.0595074 0.192728
197 0.000304815 0.13305 0.271371 -0.0495992 -0.289248 0.130201 -0.00420275 0.188586 0.386483 0.0596899 0.192878
198 0 -0.00696319 0.219211 -0.0900385 -0.31864 0.133336 0.00191868 0.183697 0.387464 0.059876 0.192987
199 0.491154 -0.141454 0.11827 -0.129036 -0.348359 0.136661 0.00797696 0.178796 0.388428 0.0600657 0.193094
200 -0 0 0 -0.161493 -0.377586 0.140166 0.013959 0.173885 0.389375 0.0602589 0.193198
201 -0.490595 0.210382 -0.104023 -0.183201 -0.405437 0.143837 0.0198519 0.168967 0.390304 0.0604557 0.193318
202 0 0.228917 -0.14046 -0.191277 -0.431008 0.14765 0.0256427 0.164042 0.391216 0.060656 0.19347
203 0.465899 0.0659288 -0.0968984 -0.18441 -0.453429 0.151574 0.0313188 0.159114 0.39211 0.0608599 0.193642
204 0 0 -0.00253976 -0.162912 -0.471904 0.155575 0.0368677 0.154183 0.392986 0.0610673 0.193829
205 -0.019744 -0.0684163 0.0923898 -0.128583 -0.485741 0.159614 0.0422769 0.149253 0.393845 0.0612783 0.19404
206 0 -0.236927 0.137394 -0.0843854 -0.494387 0.163647 0.0475345 0.144325 0.394686 0.0614928 0.194248
207 -0.32672 -0.217562 0.102631 -0.0339203 -0.497443 0.167629 0.0526283 0.139401 0.395509 0.0617108 0.194456
208 0 0 0 0.0192788 -0.494683 0.171513 0.0575469 0.134482 0.396314 0.0619324 0.194685
209 -0.0808864 0.179722 -0.105354 0.0737875 -0.486061 0.17525 0.0622787 0.129571 0.397101 0.0621575 0.19491
210 0 0.115075 -0.152447 0.132042 -0.471714 0.178792 0.0668127 0.124669 0.397869 0.0623861 0.195144
211 0.0518249 -0.0408221 -0.125739 0.193636 -0.451957 0.18209 0.0711382 0.119779 0.39862 0.0626183 0.195394
212 0 0 -0.0459323 0.255268 -0.427272 0.185095 0.0752445 0.114901 0.399353 0.062854 0.195669
213 0.289587 0.176861 0.0442001 0.312278 -0.398292 0.187762 0.0791216 0.110037 0.400067 0.0630932 0.19596
214 0 0.322988 0.0970054 0.359895 -0.365777 0.190047 0.0827598 0.10519 0.400762 0.0633359 0.196221
215 -0.14468 0.212995 0.0801761 0.394197 -0.330582 0.191907 0.0861497 0.10036 0.40144 0.0635821 0.19644
216 0 0 -0 0.412783 -0.293624 0.193304 0.0892824 0.0955485 0.402098 0.0638318 0.196624
217 -0.238918 -0.195356 -0.102852 0.415153 -0.255836 0.194202 0.0921492 0.0907579 0.402739 0.064085 0.196777
218 0 -0.266186 -0.222343 0.402812 -0.218118 0.194569 0.0947423 0.0859891 0.40336 0.0643417 0.19692
219 0.103557 -0.125939 -0.321886 0.379069 -0.181281 0.194376 0.097054 0.0812434 0.403963 0.0646019 0.197057
220 0 0 -0.357669 0.348563 -0.145987 0.193601 0.0990773 0.0765222 0.404548 0.0648655 0.197181
221 0.384799 0.133177 -0.313052 0.31649 -0.112675 0.192223 0.100805 0.0718265 0.405113 0.0651327 0.197315
222 -0 0.289493 -0.209376 0.28755 -0.081493 0.190228 0.102233 0.0671576 0.40566 0.0654033 0.197431
223 -0.417859 0.21625 -0.0932073 0.264604 -0.0522084 0.187606 0.103353 0.0625164 0.406188 0.0656774 0.197522
224 0 0 0 0.247035 -0.024125 0.184352 0.104163 0.057904 0.406697 0.065955 0.197602
225 0.372949 -0.11688 0.0883573 0.23242 0.00356713 0.180466 0.104656 0.0533212 0.407187 0.066236 0.197676
226 0 0.0304925 0.182568 0.226335 0.0303383 0.175953 0.104831 0.0487689 0.407658 0.0665204 0.197743
227 -0.284032 0.153685 0.253659 0.233055 0.0553449 0.170822 0.104683 0.0442478 0.40811 0.0668083 0.197798
228 0 0 0.271344 0.253222 0.0778378 0.165088 0.10421 0.0397585 0.408543 0.0670997 0.197825
